A1,döner,banana
A2,döner,banana
A3,döner,banana
A4,döner,apple
A5,döner,apple
A6,döner,apple
A7,döner,pineapple
A8,döner,pineapple
A9,döner,pineapple
A10,döner,pie
A11,döner,pie
A12,döner,pie
A13,döner,water
A14,döner,water
A15,döner,water
A16,cay,banana
A17,cay,banana
A18,cay,banana
A19,cay,apple
A20,cay,apple
A21,cay,apple
A22,cay,pineapple
A23,cay,pineapple
A24,cay,pineapple
B1,cay,pie
B2,cay,pie
B3,cay,pie
B4,cay,water
B5,cay,water
B6,cay,water
B7,dürüm,banana
B8,dürüm,banana
B9,dürüm,banana
B10,dürüm,apple
B11,dürüm,apple
B12,dürüm,apple
B13,dürüm,pineapple
B14,dürüm,pineapple
B15,dürüm,pineapple
B16,dürüm,pie
B17,dürüm,pie
B18,dürüm,pie
B19,dürüm,water
B20,dürüm,water
B21,dürüm,water
