A1,1,a
A2,1,a
A3,1,a
A4,1,b
A5,1,b
A6,1,b
A7,1,c
A8,1,c
A9,1,c
A10,1,d
A11,1,d
A12,1,d
A13,1,water
A14,1,water
A15,1,water
A16,2,a
A17,2,a
A18,2,a
A19,2,b
A20,2,b
A21,2,b
A22,2,c
A23,2,c
A24,2,c
B1,2,d
B2,2,d
B3,2,d
B4,2,water
B5,2,water
B6,2,water
B7,3,a
B8,3,a
B9,3,a
B10,3,b
B11,3,b
B12,3,b
B13,3,c
B14,3,c
B15,3,c
B16,3,d
B17,3,d
B18,3,d
B19,3,water
B20,3,water
B21,3,water
B22,4,a
B23,4,a
B24,4,a
C1,4,b
C2,4,b
C3,4,b
C4,4,c
C5,4,c
C6,4,c
C7,4,d
C8,4,d
C9,4,d
C10,4,water
C11,4,water
C12,4,water
