A1,1,a
A2,1,a
A3,1,a
A4,1,b
A5,1,b
A6,1,b
A7,1,c
A8,1,c
A9,1,c
A10,1,d
A11,1,d
A12,1,d
A13,1,e
A14,1,e
A15,1,e
A16,1,f
A17,1,f
A18,1,f
A19,1,g
A20,1,g
A21,1,g
A22,1,h
A23,1,h
A24,1,h
B1,1,i
B2,1,i
B3,1,i
B4,1,j
B5,1,j
B6,1,j
B7,1,water
B8,1,water
B9,1,water
B10,2,a
B11,2,a
B12,2,a
B13,2,b
B14,2,b
B15,2,b
B16,2,c
B17,2,c
B18,2,c
B19,2,d
B20,2,d
B21,2,d
B22,2,e
B23,2,e
B24,2,e
C1,2,f
C2,2,f
C3,2,f
C4,2,g
C5,2,g
C6,2,g
C7,2,h
C8,2,h
C9,2,h
C10,2,i
C11,2,i
C12,2,i
C13,2,j
C14,2,j
C15,2,j
C16,2,water
C17,2,water
C18,2,water
C19,3,a
C20,3,a
C21,3,a
C22,3,b
C23,3,b
C24,3,b
D1,3,c
D2,3,c
D3,3,c
D4,3,d
D5,3,d
D6,3,d
D7,3,e
D8,3,e
D9,3,e
D10,3,f
D11,3,f
D12,3,f
D13,3,g
D14,3,g
D15,3,g
D16,3,h
D17,3,h
D18,3,h
D19,3,i
D20,3,i
D21,3,i
D22,3,j
D23,3,j
D24,3,j
E1,3,water
E2,3,water
E3,3,water
E4,4,a
E5,4,a
E6,4,a
E7,4,b
E8,4,b
E9,4,b
E10,4,c
E11,4,c
E12,4,c
E13,4,d
E14,4,d
E15,4,d
E16,4,e
E17,4,e
E18,4,e
E19,4,f
E20,4,f
E21,4,f
E22,4,g
E23,4,g
E24,4,g
F1,4,h
F2,4,h
F3,4,h
F4,4,i
F5,4,i
F6,4,i
F7,4,j
F8,4,j
F9,4,j
F10,4,water
F11,4,water
F12,4,water
F13,5,a
F14,5,a
F15,5,a
F16,5,b
F17,5,b
F18,5,b
F19,5,c
F20,5,c
F21,5,c
F22,5,d
F23,5,d
F24,5,d
G1,5,e
G2,5,e
G3,5,e
G4,5,f
G5,5,f
G6,5,f
G7,5,g
G8,5,g
G9,5,g
G10,5,h
G11,5,h
G12,5,h
G13,5,i
G14,5,i
G15,5,i
G16,5,j
G17,5,j
G18,5,j
G19,5,water
G20,5,water
G21,5,water
G22,6,a
G23,6,a
G24,6,a
H1,6,b
H2,6,b
H3,6,b
H4,6,c
H5,6,c
H6,6,c
H7,6,d
H8,6,d
H9,6,d
H10,6,e
H11,6,e
H12,6,e
H13,6,f
H14,6,f
H15,6,f
H16,6,g
H17,6,g
H18,6,g
H19,6,h
H20,6,h
H21,6,h
H22,6,i
H23,6,i
H24,6,i
I1,6,j
I2,6,j
I3,6,j
I4,6,water
I5,6,water
I6,6,water
